downloaded at,2026/03/01,初期値(web用),web用,,,,,,,,,,
bands,``integer``,"- ``2*neldo + nelup - neldo`` if no input
- with input value or above value

  + ``2*neldo + nelup - neldo`` if bands < nelup
  + ``nelocc`` if nelocc /= 0 and bands < nelocc
  + ``nelorbh`` if bands > nelorbh and contracted_on is .false.
  + ``nelorb_at`` if bands > nelorb_at and contracted_on is .true.",The number of lowest eigenvalues of Khon-Sham equations to be evaluated. By default ``bands = nelup + 7`` where ``nelup`` is the number of spin up electrons. This corresponds to assuming at most an 8-fold degenerancy in the last occupied shell.,The number of lowest eigenvalues of Khon-Sham equations to be evaluated. By default ``bands = nelup + 7`` where ``nelup`` is the number of spin up electrons. This corresponds to assuming at most an 8-fold degenerancy in the last occupied shell.,None,".. code-block:: text

    !bands=(#electron up)+7 ! The number of lowest eigenvalues of Khon-Sham equations to be evaluated. Default bands=nelup (the number of
    ! spin up electrons) + 7. This corresponds to assume at most an 8-fold degenerancy in the last occupied shell.
",None,DFT,prep.x,,prep_11,"setup.f90:402, 524 -- 527, 919 -- 931",
mixingder,``real(8)``,"- if no input

  + ``0.05d0`` if typeopt is even
  + ``100.0d0`` if typeopt is odd

- with input or above value

  + ``abs(mixingder)`` if mixingder < 0","- Case 1 (``typeopt = 3``): Used to evaluate numerically the first and second derivatives.
- Case 2 (``typeopt = 4``): Used to be closer to the linear regime for the evaluation of the Jacobian (``mixingder`` << 1).","- Case 1 (``typeopt = 3``): Used to evaluate numerically the first and second derivatives.
- Case 2 (``typeopt = 4``): Used to be closer to the linear regime for the evaluation of the Jacobian (``mixingder`` << 1).",None,".. code-block:: text

    ! Used only with typeopt=3/4.
    ! typeopt=3: used to evaluate numerically the first and second derivatives.
    ! typeopt=4: used to be closer to the linear regime for the evaluation of the Jacobian (mixingder<<1).
",None,DFT,prep.x,,prep_12,"setup.f90:403, 959 -- 968",
epssr,``real(8)``,"- ``0`` if typeopt is even
- ``-1`` if typeopt is odd and no input",WIP,None,None,None,None,DFT,prep.x,,prep_13,"setup.f90:398, 999 -- 1005",
maxcg,``integer``,``40``,With ``typeopt = 3`` (conjugate gradient) each ``maxcg`` steps restart the conj. grad. procedure. If ``maxcg = 0`` no restarting is performed (discouraged since numerically unstable).,With ``typeopt = 3`` (conjugate gradient) each ``maxcg`` steps restart the conj. grad. procedure. If ``maxcg = 0`` no restarting is performed (discouraged since numerically unstable).,None,".. code-block:: text

    With typeopt = 3 (conjugate gradient) each maxcg steps restart the conj. grad. procedure.
    ! If maxcg=0 no restarting is performed (discouraged since numerically unstable).
",None,DFT,prep.x,,prep_14,setup.f90:404,
weightcorr,``real(8)``,``1.d0``,"Weight of the correlation energy, e.g. ``weightcorr`` :math:`= 0` no correlation, ``weightcorr`` :math:`= 1` standard LDA.","Weight of the correlation energy, e.g. ``weightcorr`` :math:`= 0` no correlation, ``weightcorr`` :math:`= 1` standard LDA.",None,"weight of the correlation energy, e.g. weightcorr=0 no correlation, weightcorr=1 standard LDA.",None,DFT,prep.x,,prep_15,setup.f90:405,
weightxc,``real(8)``,``1.d0``,Weight of the exchange energy. When ``weightxc`` :math:`= 0` no exchange and when :math:`weightcorr = 1` standard LDA is used.,Weight of the exchange energy. When ``weightxc`` :math:`= 0` no exchange and when :math:`weightcorr = 1` standard LDA is used.,None,"weight of the exchange  energy, e.g. weightxc=0 no exchange. weightcorr=1 standard LDA.",None,DFT,prep.x,,prep_16,setup.f90:407,
maxold,``integer``,``3``,The number of previous iterations to be considered in the numerical evaluation of Jacobian with ``typeopt = 4``.,The number of previous iterations to be considered in the numerical evaluation of Jacobian with ``typeopt = 4``.,None,".. code-block:: text

    ! Maximum number of previous iterations to be considered in the numerical evaluation of Jacobian with typeopt=4. For each
    ! iteration considered the whole charge density must be stored in memory.
",None,DFT,prep.x,,prep_17,setup.f90:417,
epsshell,``real(qp)``,"- ``0.005d0`` if no input
- ignore input or above value

  + ``0.0d0`` if optocc == 0",Spread of the Fermi distribution used when ``optocc = 1``. The unit is Ha.,Spread of the Fermi distribution used when ``optocc = 1``. The unit is Ha.,None,spread of the Fermi distribution used when optocc = 1.,None,DFT,prep.x,,prep_18,"setup.f90:406, 1010 -- 1014",
weightvh,``real(8)``,``1.d0``,Weight of the hartree potential. Setting ``weightvh`` :math:`\neq 1` is used just for testing.,Weight of the hartree potential. Setting ``weightvh`` :math:`\neq 1` is used just for testing.,None,weight of the hartree potential. Setting weight=/1 is used just for tests.,None,DFT,prep.x,,prep_19,setup.f90:408,
orthodiag,``logical``,``.false.``,``.false.`` the Kohn-Sham eigenvectors are not orthogonalized after each Hamiltonian diagonalization.,``.false.`` the Kohn-Sham eigenvectors are not orthogonalized after each Hamiltonian diagonalization.,None,".. code-block:: text

    ! By default do not orthogonalize the Kohn-Sham eigenvectors after each Hamiltonian diagonalization.
    ! If set to .true. the code is more accurate but slower, although sometimes it can help to improve convergence.
",None,DFT,prep.x,,prep_20,setup.f90:393,
mincond,``integer``,``1``,Disregard the first ``mincond``-1 direction regardless of the condition number limited by ``epsover``. This is useful to have better cancellation errors as a function e.g. of pressure.,Disregard the first ``mincond``-1 direction regardless of the condition number limited by ``epsover``. This is useful to have better cancellation errors as a function e.g. of pressure.,None,".. code-block:: text

    ! Disregard the first mincond-1 direction regardless of the condition number limited by epsover. This is useful to
    ! have better cancellation errors as a function e.g. of pressure.
",None,DFT,prep.x,,prep_21,setup.f90:397,
randspin,``real(8)``,"- if no input

  + ``0.d0`` if iopt == 0
  + ``-1.d0`` if iopt /= 0","Used for initializing magnetization. If ``randspin`` > 0, add random component to the orbitals. If ``randspin`` < 0 initialize with maximum possible spin given density and grid (see below). If zero no action.","Used for initializing magnetization. If ``randspin`` > 0, add random component to the orbitals. If ``randspin`` < 0 initialize with maximum possible spin given density and grid (see below). If zero no action.",None,".. code-block:: text

    used for initializing magnetization. If > 0, add random component to the orbitals.
    if < 0 initialize with maximum possible spin given density and grid (see below). if zero no acrion.
",None,DFT,prep.x,,prep_22,setup.f90:409 -- 414,
nzs,``integer``,``1``,"Dimension of the grid where the magnetization is defined along the :math:`x`, :math:`y`, :math:`z` direction. The format is written below.

Additional information:

- ``nxs`` ``nys`` ``nzs``

  Dimension of the grid where the magnetization is defined along the :math:`x`, :math:`y`, :math:`z` direction:
  The format is

  .. code-block:: bash

        !  After ""/"" or ""occupation list""
        ! # empty line
        ! s111 s211 s311 ... snxs11
        ! s121 s221 s321 ... snxs11
        ! s1nys1 ... ... ... snxsnys1
        ! # empty line
        ! s112 s212 s312 ... snxs12
        ! ...
        ! # empty line
        ! s11nzs s21nzs s31nzs ... snxs1nzs
        ! ...
        ! s1nysnzs ... ... ... snxsnysnzs
","Dimension of the grid where the magnetization is defined along the :math:`x`, :math:`y`, :math:`z` direction. The format is written below.

Additional information:

- ``nxs`` ``nys`` ``nzs``

  Dimension of the grid where the magnetization is defined along the :math:`x`, :math:`y`, :math:`z` direction:
  The format is

  .. code-block:: bash

        !  After ""/"" or ""occupation list""
        ! # empty line
        ! s111 s211 s311 ... snxs11
        ! s121 s221 s321 ... snxs11
        ! s1nys1 ... ... ... snxsnys1
        ! # empty line
        ! s112 s212 s312 ... snxs12
        ! ...
        ! # empty line
        ! s11nzs s21nzs s31nzs ... snxs1nzs
        ! ...
        ! s1nysnzs ... ... ... snxsnysnzs
",None,z mesh,None,DFT,prep.x,,prep_23,"setup.f90:418, 916 -- 918",
nys,``integer``,``1``,"Dimension of the grid where the magnetization is defined along the :math:`x`, :math:`y`, :math:`z` direction. The format is written below.

Additional information:

- ``nxs`` ``nys`` ``nzs``

  Dimension of the grid where the magnetization is defined along the :math:`x`, :math:`y`, :math:`z` direction:
  The format is

  .. code-block:: bash

        !  After ""/"" or ""occupation list""
        ! # empty line
        ! s111 s211 s311 ... snxs11
        ! s121 s221 s321 ... snxs11
        ! s1nys1 ... ... ... snxsnys1
        ! # empty line
        ! s112 s212 s312 ... snxs12
        ! ...
        ! # empty line
        ! s11nzs s21nzs s31nzs ... snxs1nzs
        ! ...
        ! s1nysnzs ... ... ... snxsnysnzs
","Dimension of the grid where the magnetization is defined along the :math:`x`, :math:`y`, :math:`z` direction. The format is written below.

Additional information:

- ``nxs`` ``nys`` ``nzs``

  Dimension of the grid where the magnetization is defined along the :math:`x`, :math:`y`, :math:`z` direction:
  The format is

  .. code-block:: bash

        !  After ""/"" or ""occupation list""
        ! # empty line
        ! s111 s211 s311 ... snxs11
        ! s121 s221 s321 ... snxs11
        ! s1nys1 ... ... ... snxsnys1
        ! # empty line
        ! s112 s212 s312 ... snxs12
        ! ...
        ! # empty line
        ! s11nzs s21nzs s31nzs ... snxs1nzs
        ! ...
        ! s1nysnzs ... ... ... snxsnysnzs
",None,y mesh,None,DFT,prep.x,,prep_24,"setup.f90:419, 913 -- 915",
nxs,``integer``,``1``,"Dimension of the grid where the magnetization is defined along the :math:`x`, :math:`y`, :math:`z` direction. The format is written below.

Additional information:

- ``nxs`` ``nys`` ``nzs``

  Dimension of the grid where the magnetization is defined along the :math:`x`, :math:`y`, :math:`z` direction:
  The format is

  .. code-block:: bash

        !  After ""/"" or ""occupation list""
        ! # empty line
        ! s111 s211 s311 ... snxs11
        ! s121 s221 s321 ... snxs11
        ! s1nys1 ... ... ... snxsnys1
        ! # empty line
        ! s112 s212 s312 ... snxs12
        ! ...
        ! # empty line
        ! s11nzs s21nzs s31nzs ... snxs1nzs
        ! ...
        ! s1nysnzs ... ... ... snxsnysnzs
","Dimension of the grid where the magnetization is defined along the :math:`x`, :math:`y`, :math:`z` direction. The format is written below.

Additional information:

- ``nxs`` ``nys`` ``nzs``

  Dimension of the grid where the magnetization is defined along the :math:`x`, :math:`y`, :math:`z` direction:
  The format is

  .. code-block:: bash

        !  After ""/"" or ""occupation list""
        ! # empty line
        ! s111 s211 s311 ... snxs11
        ! s121 s221 s321 ... snxs11
        ! s1nys1 ... ... ... snxsnys1
        ! # empty line
        ! s112 s212 s312 ... snxs12
        ! ...
        ! # empty line
        ! s11nzs s21nzs s31nzs ... snxs1nzs
        ! ...
        ! s1nysnzs ... ... ... snxsnysnzs
",None,".. code-block:: text

    ! dimension of the grid where the magnetization is defined on the x direction: x mesh.
    ! After ""/"" or ""&end"" read (nys+1)*(nzs-1)+nys records in the form sxyz=+/-1,0 where 1 = Sz>0,-1 = Sz<0, 0 = Sz=0
    ! s111 s211 s311 ... snxs11
    ! s121 s221 s321 ... snxs11
    ! s1nys1 ... ... ... snxsnys1
    ! # empty line
    ! s112 s212 s312 ... snxs12
    ! ...
    ! # empty line
    ! s11nzs s21nzs s31nzs ... snxs1nzs
    ! ...
    ! s1nysnzs ... ... ... snxsnysnzs
",None,DFT,prep.x,,prep_25,"setup.f90:420, 909 -- 912",
jaccond,``real(8)``,``0.d0``,Minimum threshold for the condition matrix in the self-consistent approach ``typeopt = 4``.,Minimum threshold for the condition matrix in the self-consistent approach ``typeopt = 4``.,None,minimum threshold for the condition matrix in the self-consistent approach typeopt=4.,None,DFT,prep.x,,prep_26,setup.f90:421,
h_field,``real(8)``,``0.d0``,If ``h\_field`` > (<) 0 put a magnetic field increasing (decreasing) the magnetization with the staggering given by the table sxyz defined for ``randspin``.,If ``h\_field`` > (<) 0 put a magnetic field increasing (decreasing) the magnetization with the staggering given by the table sxyz defined for ``randspin``.,None,".. code-block:: text

! if h_field >(<) 0 put a magnetic field increasing (decreasing) the magnetization with the staggering given by the
! table sxyz defined for randspin.
",None,DFT,prep.x,,prep_27,setup.f90:,
eps_mach,``real(8)``,- ``DLAMCH('E')`` (defined in `lapack`) if no input,WIP,None,None,None,None,DFT,prep.x,,prep_28,"setup.f90:399, 933 -- 936",
nc,``integer``,``-1``,WIP,None,None,None,None,DFT,prep.x,,prep_29,setup.f90:422,
rmax,``real*8``,``0.d0``,WIP,None,None,None,None,DFT,prep.x,,prep_30,setup.f90:423,
write_den,``logical``,``.false.``,If ``.true.`` write the overlap matrix elements for effective Hamiltonian calculations to the disk.,If ``.true.`` write the overlap matrix elements for effective Hamiltonian calculations to the disk.,None,if .true. print the total charge density on a formatted file at the end of the self-consistent calculation.,None,DFT,prep.x,,prep_31,setup.f90:424,
contracted_on,``logical``,``.false.``,If ``.true.`` it acts on the contracted basis (considerably faster).,If ``.true.`` it acts on the contracted basis (considerably faster).,None,If .true. it acts in the contracted basis (considerably faster). Otherwise it acts in the uncontracted basis.,None,DFT,prep.x,,prep_32,setup.f90:425,
task,"``integer``
",``0``,WIP,None,None,None,request band structure plot,DFT,prep.x,,prep_33,setup.f90:432,
deltaE,``real(8)``,``0.d0``,WIP,None,None,None,None,DFT,prep.x,,prep_34,setup.f90:435,
emin,``real(8)``,``0.d0``,WIP,None,None,None,None,DFT,prep.x,,prep_35,setup.f90:433,
emax,``real(8)``,``0.d0``,WIP,None,None,None,None,DFT,prep.x,,prep_36,setup.f90:434,
optimize_overs,"``logical``

","- if no input

  + ``.true.`` if double_overs is .false.

- ignore input or above value

  + ``.false.`` if double_overs is .true.",If ``.true.`` optimize the overlap matrices calculation if the phase for spin down electrons is equal or opposite to the phase for up spin electrons. Otherwise it is automatically set to ``.false.``.,If ``.true.`` optimize the overlap matrices calculation if the phase for spin down electrons is equal or opposite to the phase for up spin electrons. Otherwise it is automatically set to ``.false.``.,None,".. code-block:: text

    ! if .true. optimize overlap matrices calculation if the phase for spin down electrons is equal or opposite
    ! to the phase for up spin electrons. Otherwise it is automatically set to .false.
",None,DFT,prep.x,,prep_37,"setup.f90:426, 1219 -- 1223",
shift_origin,``logical``,"- if no input

  + ``.true.`` if skip_equivalence is .true. or yes_tilted is .true.
  + ``.false.`` otherwise",WIP,None,None,None,None,DFT,prep.x,,prep_38,setup.f90:453 -- 457,
try_translation,``logical``,``.true.``,WIP,None,None,None,None,DFT,prep.x,,prep_39,setup.f90:463,
zero_jas,``logical``,``.false.``,If ``.true.`` set the one-body Jastrow to zero at the end of the DFT calculation.,If ``.true.`` set the one-body Jastrow to zero at the end of the DFT calculation.,None,set the one-body Jastrow to zero at the end of the DFT calculation,None,DFT,prep.x,,prep_40,setup.f90:473,
write_matrix,``logical``,``.false.``,WIP,None,None,write on file the overlap matrix elements for effective Hamiltonian calculations,None,DFT,prep.x,,prep_41,setup.f90:474,
fix_density,``logical``,"-``.false.`` if no input
- ignore input

  + ``.false.`` if decoupled_run is .false.
","If the flag ``decoupled_run`` is set to ``.true.`` (&parameters card) as well as the ``yes_kpoints`` flag (&kpoints card), the k-points are evolved independently but using the averaged electronic density.","If the flag ``decoupled_run`` is set to ``.true.`` (&parameters card) as well as the ``yes_kpoints`` flag (&kpoints card), the k-points are evolved independently but using the averaged electronic density.",None,".. code-block:: text

    ! if the flag decoupled_run is set to .true. (&parameters card) as well as the yes_kpoints flag
    ! (&kpoints card) the k-points are evolved independently but using the averaged electronic
    ! density.
",None,DFT,prep.x,,prep_42,"setup.f90:428, 1057 -- 1061",
newj_onebody,``real(8) :: newj_onebody(100)``,"``-1.d0``


",WIP,None,None,None,None,DFT,prep.x,,prep_43,setup.f90:429,
setj_onebody,``real(8) :: setj_onebody(100)``,``-1.d0``,WIP,None,None,None,None,DFT,prep.x,,prep_44,setup.f90:430,
h_charge,``real(8)``,``0.d0``,WIP,None,None,None,None,DFT,prep.x,,prep_45,setup.f90:416,
shiftx,``logical``,``.false.``,WIP,None,None,None,None,DFT,prep.x,,prep_46,setup.f90:459,
shifty,``logical``,``.false.``,WIP,None,None,None,None,DFT,prep.x,,prep_47,setup.f90:,
shiftz,``logical``,``.false.``,WIP,None,None,None,None,DFT,prep.x,,prep_48,setup.f90:,
l0_at,``real(8)``,``1.d0``,WIP,None,None,None,".. code-block:: text

        1. Default case ``from_ions=.true.``

    ``l0_at``: (real, a.u. Bohr) all atoms satisfying the above condition are considered with the more accurate mesh
    in a cubic  box of size  :math:`(Lx,Ly,Lz) = (2*l0\_at,2*l0\_at,2*l0\_at)` centered around the atom.
    Default reasonable input is ``l0_at`` = 1 a.u.
",DFT,prep.x,,prep_49,setup.f90:441,
scale_z,``integer``,"- if no input

  + ``2`` if double_mesh is .true.
  + ``1`` if double_mesh is .false.",WIP,None,None,None,".. code-block:: text

    1. Default case ``from_ions=.true.``
    ``scale_z``: (integer) a mesh with smaller lattice spacing :math:`\frac{ax}{scale\_z}`, :math:`\frac{ay}{scale\_z}`, :math:`\frac{az}{scale\_z}`
    is used for all the atoms with valence charge >= ``minz_at`` (see below)
",DFT,prep.x,,prep_50,setup.f90:443 -- 447,
linear,``logical``,``.false.``,WIP,None,None,None,None,DFT,prep.x,,prep_51,setup.f90:436,
corr_hartree,``logical``,"- ``.true.``` if no input
- ignore input or above value

  +  ``.false.`` if do_hartree is .true. or double_mesh is .false.
",WIP,None,None,None,None,DFT,prep.x,,prep_52,"setup.f90:465 -- 471, 655 -- 659",
rion_from,``real(8) :: rion_from(3)``,automatic,WIP,None,None,,".. code-block:: text

    2. ``from_ions= .false.``

    ``rion_from`` [1:3] (real, a.u. Bohr) by default is the center of the system defined as
    :math:`\frac{1}{N} \sum_{i=1}^{N} R_i` where N is the number of atoms and :math:`R_i` the corresponding positions.
",DFT,prep.x,,prep_53,"prep.f90:111, setup.f90:195, 475, prep.f90:186, initialize_environment.f90:16, 92, 686, 816 -- 821",
minz_at,``real(8)``,``-1.d0``,WIP,None,None,None,".. code-block:: text

1. Default case ``from_ions=.true.``

``minz_at``:  (real) default case -1 (all atoms are dealt with finer mesh).
",DFT,prep.x,,prep_54,setup.f90:442,
vmax0_in,``real(8)``,``-100.d0``,WIP,None,None,None,None,DFT,prep.x,,prep_55,setup.f90:476,
nx_at,``integer``,automatic,WIP,None,None,None,".. code-block:: text

    1. Default case ``from_ions=.true.``

    ``nx_at``, ``ny_at``, ``nz_at``: Alternatively one considers the box :math:`(Lx,Ly,Lz) = (nx\_at*ax, ny\_at*ay, nz\_at*az)`,
    where ``ax``, ``ay``, ``az`` is the original mesh. If ``nx_at`` in input is set, ``l0_at`` is not considered.

    2. ``from_ions= .false.``

    This can be useful for instance for planar and linear molecules when there is a lot of space
    around, that can be dealt with a more sparse mesh.
    ``nx_at``, ``ny_at``, ``nz_at`` define the box centered now with respect to ``rion_from``
",DFT,prep.x,,prep_56,"setup.f90:438, 521",
ny_at,``integer``,automatic,WIP,None,None,None,".. code-block:: text

    1. Default case ``from_ions=.true.``

    ``nx_at``, ``ny_at``, ``nz_at``: Alternatively one considers the box :math:`(Lx,Ly,Lz) = (nx\_at*ax, ny\_at*ay, nz\_at*az)`,
    where ``ax``, ``ay``, ``az`` is the original mesh. If ``nx_at`` in input is set, ``l0_at`` is not considered.

    2. ``from_ions= .false.``

    This can be useful for instance for planar and linear molecules when there is a lot of space
    around, that can be dealt with a more sparse mesh.
    ``nx_at``, ``ny_at``, ``nz_at`` define the box centered now with respect to ``rion_from``
",DFT,prep.x,,prep_57,"setup.f90:439, 492 -- 495, 522",
nz_at,``integer``,automatic,WIP,None,None,None,".. code-block:: text

    1. Default case ``from_ions=.true.``

    ``nx_at``, ``ny_at``, ``nz_at``: Alternatively one considers the box :math:`(Lx,Ly,Lz) = (nx\_at*ax, ny\_at*ay, nz\_at*az)`,
    where ``ax``, ``ay``, ``az`` is the original mesh. If ``nx_at`` in input is set, ``l0_at`` is not considered.

    2. ``from_ions= .false.``

    This can be useful for instance for planar and linear molecules when there is a lot of space
    around, that can be dealt with a more sparse mesh.
    ``nx_at``, ``ny_at``, ``nz_at`` define the box centered now with respect to ``rion_from``
",DFT,prep.x,,prep_58,"setup.f90:440, 496 -- 499, 523",
from_ions,``logical``,``.true.``,WIP,None,None,None,".. code-block:: text

    ``from_ions`` (logical) if true (default), a finer  mesh (more accurate) is considered around the nuclei,
        and if false a region where the mesh is finer is given in input (see below).
",DFT,prep.x,,prep_59,setup.f90:437,
scale_hartree,``real(8)``,"- if no input

  + ``1.d0`` if double_mesh is .true.
  + ``-1.d0`` if double_mesh is .false.",WIP,None,None,None,None,DFT,prep.x,,prep_60,setup.f90:465 -- 471,
do_hartree,``logical``,"- ``.false.`` if no input
- ignore input

  + ``.false.`` if double_mesh is .false.
",WIP,None,None,None,None,DFT,prep.x,,prep_61,"setup.f90:464, 660 -- 665",
nproc_fft,``integer``,``maxdiv``,WIP,None,None,None,None,DFT,prep.x,,prep_62,"setup.f90:477, 668 -- 706",
tfcut (nonexistent),NA,NA,Used only with ``typeopt = 0/2/4``. It is used for preconditioning to improve convergence of small q charge fluctuations. Suggested value of ``tfcut`` :math:`= \frac{1}{{xi_{TF}}^2}`  where :math:`xi` is the Thomas-Fermi length expressed in a.u.,Used only with ``typeopt = 0/2/4``. It is used for preconditioning to improve convergence of small q charge fluctuations. Suggested value of ``tfcut`` :math:`= \frac{1}{{xi_{TF}}^2}`  where :math:`xi` is the Thomas-Fermi length expressed in a.u.,None,".. code-block:: text

    Used only with typeopt=0/2/4. Use preconditioning to improve convergence of small q charge fluctuations. Value of tfcut
    ! suggested = 1/ xi_TF^2  where xi is the Thomas-Fermi length expressed in a.u.
",None,DFT,prep.x,,prep_63,NA,
task,"``integer``
",``0``,".. code-block:: text

    Flag to specify which quantity to compute after a non self-consistent run. It is ignored if ``type_comp_dft = 0``.
      ``task = 0`` Do not compute anything.
      ``task = 1`` Band structure plot (use ``kp_type = 2/3`` in the k-points card to specify the path in the Brillouin zone).
      ``task = 2`` Density of States calculations using smearing parameter given by ``epsshell``. The integer ``optocc`` must be set to 1.
",".. code-block:: text

    Flag to specify which quantity to compute after a non self-consistent run. It is ignored if ``type_comp_dft = 0``.
      ``task = 0`` Do not compute anything.
      ``task = 1`` Band structure plot (use ``kp_type = 2/3`` in the k-points card to specify the path in the Brillouin zone).
      ``task = 2`` Density of States calculations using smearing parameter given by ``epsshell``. The integer ``optocc`` must be set to 1.
",None,".. code-block:: text

    ! Flag to specify which quantity compute after a non self-consistent run. It is ignored if type_comp_dft=0.
    ! = 0 do not compute anything.
    ! = 1 band structure plot (use kp_type = 2/3 in the k-points card to specify the path in the Brillouin zone).
    ! = 2 Density of States calculations using smearing parameter given by epsshell. The integer optocc must be set to 1.
",None,band_structure,prep.x,,prep_64,setup.f90:432,
deltaE,``real(8)``,``0.d0``,Energy bin for computing the density of states (task = 2).,Energy bin for computing the density of states (task = 2).,None,energy bin for computing the density of states (task = 2).,None,band_structure,prep.x,,prep_65,setup.f90:435,
emin,``real(8)``,``0.d0``,min(eigenvalue): minimum value of the energy to be included in band structure or DOS plot.,min(eigenvalue): minimum value of the energy to be included in band structure or DOS plot.,None,emin = min(eigenvalue) ! minimum value of the energy to be included in band structure or DOS plot.,None,band_structure,prep.x,,prep_66,setup.f90:433,
emax,``real(8)``,``0.d0``,max(eigenvalue): maximum value of the energy to be included in band structure or DOS plot.,max(eigenvalue): maximum value of the energy to be included in band structure or DOS plot.,None,emax = max(eigenvalue) ! maximum value of the energy to be included in band structure or DOS plot.,None,band_structure,prep.x,,prep_67,setup.f90:434,
occupations,"``real(8), dimension(:), allocatable`` :: occupations",automatic,WIP,None,2 in the last line. This indicates the number of electrons occupying each electron orbital.,None,None,lastline_of_file,prep.x,,prep_68,"initialize_environment.f90:245 -- 249, 429, 532, 539, 576 -- 587, upocc_kpoints.f90:130 -- 150, 294, 337 -- 434, 388 -- 401",
ngen,``integer``,``0``,WIP,None,None,None,".. code-block:: text

    In the input ``readforward.input`` you can modify the number ``ngen`` of vmc steps
    used in the correlated sampling (it  can be smaller than the total one defined
    in ``datasvmc.input``).
",simulation,readforward.x,,readforward_01,read_corr_fun.f90:77,
iopt,``integer``,``1``,WIP,None,None,None,None,simulation,readforward.x,,readforward_02,read_corr_fun.f90:78,
longio,``logical``,``.false.``,WIP,None,None,None,None,simulation,readforward.x,,readforward_03,read_corr_fun.f90:149,
decouple_k,``logical``,``.true.``,WIP,None,None,None,None,simulation,readforward.x,,readforward_04,read_corr_fun.f90:75,
decouple_files,``logical``,``.false.``,WIP,None,None,None,None,simulation,readforward.x,,readforward_05,read_corr_fun.f90:76,
ncell,``integer :: ncell(3)``,``ncell(1:3) = 1``,WIP,None,None,None,".. code-block:: text

    ! you can change the periodicity defined by cellscale by reducing the
    ! default cellscale by a given FACTOR (ncell is the rescaling FACTOR in each direction)

    ! The correlation functions will be computed in the box whose
    ! intervals are [-ell(x)/2,ell(x)/2][-ell(y)/2,ell(y)/2][-ell(z)/2,ell(z)/2]
    ! with ell(i) = min ( ell(i), cellscale(i)/ncell(i) )
",system,readforward.x,,readforward_06,read_corr_fun.f90:83,
ell,``real*8 :: ell(3)``,automatic,WIP,None,None,None,".. code-block:: text

    ! user defined box size
    ! the standard (default) box size is set by fort.10 in pbc
    ! for open systems the default is the one which is CUBIC with density r_s=1
",system,readforward.x,,readforward_07,"read_corr_fun.f90:82, 93 -- 133",
center_type,``integer``,``1``,WIP,None,None,None,None,system,readforward.x,,readforward_08,read_corr_fun.f90:87,
starting_point,``double precision :: starting_point(3)``,``starting_point(:) = 0``,WIP,None,None,None,None,system,readforward.x,,readforward_09,read_corr_fun.f90:88,
da,``real*8 :: da(3)``,``da(:) = 0``,WIP,None,None,None,None,system,readforward.x,,readforward_10,read_corr_fun.f90:89,
extr_point,``real*8 :: extr_point(3)``,``extr_point(:) = 0``,WIP,None,None,None,None,system,readforward.x,,readforward_11,read_corr_fun.f90:86,
n_extr_points,``integer``,``0``,WIP,None,None,None,None,system,readforward.x,,readforward_12,read_corr_fun.f90:85,
corr_factors,``integer``,``0``,WIP,None,None,".. code-block:: text

    # EXAMPLE FOR BERRY PHASE CALCULATION
    #The output is made of 6 number :
    #< exp(i 2pi/Lmu  x_mu) > Real,Imag, mu=1,2,3
    #If you want to do forward walking with LRDMC you should as usual define fwd_propagation (forward walking propagations) and corr_factors (small same meaning
    #as for the energy with readf, it is just the population control bias).
",".. code-block:: text

    ! correcting factors to reduce the finite population bias
    ! default value corr_factors=0
",corrfun,readforward.x,,readforward_13,read_corr_fun.f90:170,
fwd_propagations,``integer``,``0``,WIP,None,None,None,".. code-block:: text

    ! forward propagation steps
    ! default value fwd_propagations=0
",corrfun,readforward.x,,readforward_14,read_corr_fun.f90:171,
bin_length,``integer``,``ngen/100``,WIP,None,None,None,".. code-block:: text

    default value bin_length = ngen/100
",corrfun,readforward.x,,readforward_15,read_corr_fun.f90:172,
initial_bin,``integer``,``2``,WIP,None,None,None,default value initial_bin = 2,corrfun,readforward.x,,readforward_16,read_corr_fun.f90:173,
fwd_skip,``integer``,``1``,WIP,None,None,None,".. code-block:: text

    ! perform  the calculation of forwarded avergages each fwd_skip propagation steps
    ! default value fwd_skip = 1

    ! Note: if you run a VMC simulation, use the default values for corr_factors
    ! fwd_propagations, while the fwd_skip is irrelevant.
    ! If you run a DMC/LRDMC simulation, you can both correct for
    ! the population bias and the mixed average bias.
    ! Be aware that the forward walking technique can be
    ! very expensive. In order to reduce the total time,
    ! use the skip parameter fwd_skip >1. In this way, you compute the
    ! obervables after EVERY ""fwd_skip"" forwarded time steps,
    ! by gaining a factor ""fwd_skip"" in the whole time.
    ! Note that the ""fwd_skip"" option acts in the forwarded time space, not in
    ! the number of generations.
",corrfun,readforward.x,,readforward_17,read_corr_fun.f90:174,
corrfun_dim,``integer``,``3``,WIP,None,None,In this case the output will be also standard xcrysden plots,".. code-block:: text

    ! active dimension of the correlation function.
    ! one can perform calculations of the linear (corrfun_dim=1),
    ! surface (corrfun_dim=2), or volume (corrfun_dim=3) quantities
    ! default value corrfun_dim=3
",corrfun,readforward.x,,readforward_18,read_corr_fun.f90:175,
